die_id,lot_id,is_defect_168h,module_a_score,module_a_reject,pred_168h_gbr,pred_168h_ucl,module_b_abort,final_disposition
LOT_020_DIE_00969,LOT_020,0,0.11559524551116204,0,12.41047,19.758332104156686,0,PASS_FLIGHT_QUALIFIED
LOT_022_DIE_03221,LOT_022,0,0.23677341664750948,0,10.043821,15.393878655523732,0,PASS_FLIGHT_QUALIFIED
LOT_030_DIE_04829,LOT_030,0,0.2012764152519388,0,9.937575,16.380538046182895,0,PASS_FLIGHT_QUALIFIED
LOT_035_DIE_04934,LOT_035,0,0.30457193903029667,0,18.119867,25.309317118691787,1,ABORT_MODULE_B_DRIFT_RUNAWAY
LOT_015_DIE_03264,LOT_015,0,0.14455803820694677,0,10.830052,16.366860717557767,0,PASS_FLIGHT_QUALIFIED
LOT_010_DIE_00759,LOT_010,0,0.1581260860651585,0,13.715003,20.41071169574274,0,PASS_FLIGHT_QUALIFIED
LOT_021_DIE_04170,LOT_021,0,0.502901763232839,1,14.872891,22.439658575803687,0,REJECT_MODULE_A_OUTLIER
LOT_038_DIE_01537,LOT_038,0,0.3296744836255687,0,11.2157755,16.438255345352225,0,PASS_FLIGHT_QUALIFIED
LOT_046_DIE_01245,LOT_046,0,0.22635135479172197,0,12.889518,21.243366244145204,0,PASS_FLIGHT_QUALIFIED
LOT_014_DIE_02163,LOT_014,0,0.2593126514495204,0,11.807261,16.702727210843467,0,PASS_FLIGHT_QUALIFIED
LOT_005_DIE_03204,LOT_005,0,0.01986541005640092,0,12.411471,20.416010178475204,0,PASS_FLIGHT_QUALIFIED
LOT_001_DIE_00350,LOT_001,0,0.10199491770166341,0,12.973081,18.281918588158952,0,PASS_FLIGHT_QUALIFIED
LOT_032_DIE_01031,LOT_032,0,0.03042785299997417,0,10.259592,15.976060590496381,0,PASS_FLIGHT_QUALIFIED
LOT_005_DIE_01654,LOT_005,0,0.14363017688849183,0,11.320753,18.447021327609676,0,PASS_FLIGHT_QUALIFIED
LOT_008_DIE_01957,LOT_008,0,0.16856010219043877,0,15.701248,23.594107838756816,0,PASS_FLIGHT_QUALIFIED
LOT_022_DIE_04671,LOT_022,0,0.07277667999224494,0,9.735208,16.112723377986864,0,PASS_FLIGHT_QUALIFIED
LOT_004_DIE_02953,LOT_004,0,0.1393357816495215,0,12.128217,18.800361388466033,0,PASS_FLIGHT_QUALIFIED
LOT_014_DIE_04663,LOT_014,0,0.1301492428330188,0,11.308961,16.80234797183758,0,PASS_FLIGHT_QUALIFIED
LOT_027_DIE_02626,LOT_027,0,0.009422267542993476,0,10.945283,16.042905514629723,0,PASS_FLIGHT_QUALIFIED
LOT_050_DIE_04749,LOT_050,0,0.4004985204443558,0,9.635823,14.993251675222009,0,PASS_FLIGHT_QUALIFIED
LOT_044_DIE_01943,LOT_044,0,0.42854505472424465,0,13.516211,18.770006429110946,0,PASS_FLIGHT_QUALIFIED
LOT_015_DIE_03014,LOT_015,0,0.49347385796987603,1,9.330052,15.361807614404984,0,REJECT_MODULE_A_OUTLIER
LOT_036_DIE_04735,LOT_036,0,0.14700727680310685,0,15.351106,23.552036973884128,0,PASS_FLIGHT_QUALIFIED
LOT_013_DIE_04162,LOT_013,0,0.20212304413100324,0,13.138332,19.9557086437773,0,PASS_FLIGHT_QUALIFIED
LOT_015_DIE_01214,LOT_015,0,0.2067955764139656,0,9.629847,15.975866154552321,0,PASS_FLIGHT_QUALIFIED
LOT_030_DIE_02929,LOT_030,0,0.2157342175863073,0,10.881829,14.507535380682505,0,PASS_FLIGHT_QUALIFIED
LOT_006_DIE_01905,LOT_006,0,0.29113446710166035,0,8.949631,15.479809584152967,0,PASS_FLIGHT_QUALIFIED
LOT_019_DIE_03168,LOT_019,0,0.24098543344258383,0,11.395706,19.119497602186485,0,PASS_FLIGHT_QUALIFIED
LOT_001_DIE_03500,LOT_001,0,0.1856044301182891,0,11.213516,18.435811430369775,0,PASS_FLIGHT_QUALIFIED
LOT_032_DIE_01731,LOT_032,0,0.13896005626135874,0,13.042725,19.075234113190756,0,PASS_FLIGHT_QUALIFIED
LOT_024_DIE_02523,LOT_024,0,0.1117029778336131,0,11.78221,20.12462458370807,0,PASS_FLIGHT_QUALIFIED
LOT_047_DIE_00996,LOT_047,0,0.051707775661114105,0,13.422091,20.10207140698924,0,PASS_FLIGHT_QUALIFIED
LOT_039_DIE_04938,LOT_039,0,0.42398537139802966,0,15.461526,23.65769384737088,0,PASS_FLIGHT_QUALIFIED
LOT_005_DIE_02254,LOT_005,0,0.3459873954782479,0,9.881774,15.130421077318383,0,PASS_FLIGHT_QUALIFIED
LOT_042_DIE_04691,LOT_042,0,0.09187811669719775,0,12.36272,19.661434923720957,0,PASS_FLIGHT_QUALIFIED
LOT_019_DIE_02518,LOT_019,0,0.19306443911152438,0,11.935596,19.83273655989125,0,PASS_FLIGHT_QUALIFIED
LOT_028_DIE_04077,LOT_028,1,0.6978025443010054,1,78.16852,95.8441884638445,1,REJECT_MODULE_A_OUTLIER
LOT_015_DIE_00814,LOT_015,0,0.161146894444659,0,10.915584,17.33868594335955,0,PASS_FLIGHT_QUALIFIED
